"declared","hard","goose","bridge","easier","highway","welcome","heart","log","glad"
"watch","land","base","country","adventure","walk","map","forward","settlers","read"
"paragraph","naturally","finish","product","work","equator","mad","root","many","my"
"bet","ranch","building","meant","forward","sang","place","shop","already","ranch"
"thin","quarter","compare","clock","wise","spent","game","gradually","built","write"
"truck","decide","purpose","fifty","women","wire","after","ice","recently","month"
"appropriate","straw","bee","cabin","pitch","collect","national","shelter","fur","vertical"
"fairly","language","steady","angry","price","fix","run","social","vegetable","like"
"near","medicine","were","cross","bone","then","whole","morning","coffee","party"
"football","evening","scared","statement","health","road","of","smoke","elephant","colony"
"show","zero","empty","never","substance","today","center","hurried","cover","cattle"